stop_id,stop_name,stop_lat,stop_lon,wheelchair_boarding                                                                                               ,download_date
05306,San Pedro de Nora,43.3687481,-5.9585951,2                                                                                                       ,2026-07-10
05308,Soto Udrión,43.3564364,-5.9650157,2                                                                                                             ,2026-07-10
05311,Trubia,43.3485700,-5.9677756,2                                                                                                                  ,2026-07-10
05313,Santa María de Grado,43.3842274,-5.9827075,2                                                                                                    ,2026-07-10
05315,Vega de Anzo,43.3893300,-6.0056834,2                                                                                                            ,2026-07-10
05316,Peñaflor de Grado,43.4029267,-6.0453921,2                                                                                                       ,2026-07-10
05317,Grado,43.3945424,-6.0637254,2                                                                                                                   ,2026-07-10
05319,Sandiche,43.4256226,-6.0599341,2                                                                                                                ,2026-07-10
05320,Aces,43.4399142,-6.0657983,2                                                                                                                    ,2026-07-10
05321,San Román,43.4488839,-6.0771641,2                                                                                                               ,2026-07-10
05323,Beifar,43.4701379,-6.0988707,2                                                                                                                  ,2026-07-10
05325,Pravia,43.4908983,-6.1105373,2                                                                                                                  ,2026-07-10
05327,San Ranón,43.5164547,-6.0820305,2                                                                                                               ,2026-07-10
05329,San Esteban,43.5520940,-6.0872393,2                                                                                                             ,2026-07-10
05361,Baiña,43.2744717,-5.8282902,2                                                                                                                   ,2026-07-10
05369,Mieres Vasco,43.2502968,-5.7801106,2                                                                                                            ,2026-07-10
05371,Caudalia,43.2282154,-5.7827740,2                                                                                                                ,2026-07-10
05373,Figaredo,43.2138398,-5.7840362,2                                                                                                                ,2026-07-10
05375,Ujo Taruelo,43.2006229,-5.7878612,2                                                                                                             ,2026-07-10
05376,Santa Cruz,43.1959703,-5.7775447,2                                                                                                              ,2026-07-10
05377,Caborana,43.1761169,-5.7548626,2                                                                                                                ,2026-07-10
05379,Moreda de Aller,43.1707918,-5.7419622,2                                                                                                         ,2026-07-10
05380,San Antonio,43.1688510,-5.6967075,2                                                                                                             ,2026-07-10
05381,Oyanco,43.1665527,-5.7221512,2                                                                                                                  ,2026-07-10
05382,Corigos,43.1642867,-5.6766513,2                                                                                                                 ,2026-07-10
05383,Piñeres,43.1659730,-5.6842539,2                                                                                                                 ,2026-07-10
05384,Santa Ana-Soto,43.1647805,-5.6460998,2                                                                                                          ,2026-07-10
05385,Cabañaquinta,43.1607700,-5.6248987,2                                                                                                            ,2026-07-10
