route_id,route_short_name,route_long_name,route_type,route_color,route_text_color                                                                     ,download_date
20T0014C5a ,C5a ,Oviedo                                  -El Berrón                               ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0015C6  ,C6  ,Oviedo                                  -L'infiestu Apd                          ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0016C6  ,C6  ,L'infiestu Apd                          -Oviedo                                  ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0017C7  ,C7  ,Gijon (Sanz Crespo)                     -San Esteban                             ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0018C7  ,C7  ,San Esteban                             -Gijon (Sanz Crespo)                     ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0019C8  ,C8  ,Baíña                                   -Col.lanzo                               ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0020C8  ,C8  ,Col.lanzo                               -Baíña                                   ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0021C7  ,C7  ,Oviedo                                  -Trubia                                  ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0022C7  ,C7  ,Trubia                                  -Oviedo                                  ,2,EB7806,FFFFFF                                    ,2025-04-06
20T0023C4  ,C4  ,Candás                                  -Aviles                                  ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0024C4  ,C4  ,Aviles                                  -Candás                                  ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0025C6  ,C6  ,Nava                                    -El Berrón                               ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0026C6  ,C6  ,El Berrón                               -Nava                                    ,2,65B0E1,FFFFFF                                    ,2025-04-06
20T0027C8  ,C8  ,Figareo                                 -Morea/Moreda                            ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0028C8  ,C8  ,Morea/Moreda                            -Figareo                                 ,2,FDC02C,FFFFFF                                    ,2025-04-06
20T0029C5  ,C5  ,El Berrón                               -Noreña                                  ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0030C5  ,C5  ,Noreña                                  -El Berrón                               ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0031C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0032C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0033C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0034C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0035C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0036C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0037C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0038C4  ,C4  ,                                        -                                        ,2,8E2182,FFFFFF                                    ,2025-04-06
20T0039C5  ,C5  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0040C5  ,C5  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
20T0041C7  ,C7  ,                                        -                                        ,2,BFD34D,FFFFFF                                    ,2025-04-06
