service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date                                                               ,download_date
3152L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
3153M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
3154X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
3155J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
3156V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
3157S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
3158D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
3159L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
3160M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
3161X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
3162J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
3163V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
3164S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
3165D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
3166L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
3167M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
3168X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
3169J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
3170V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
3171S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
3242V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
3243S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
3244D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
3245L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
3246M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
3247X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
3248J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
3249V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
3250S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
3251D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
3252L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
3253M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
3254X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
3255J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
3256V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
3257S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
3258D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
3259L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
3260M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
3261X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
3262J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
3263V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
3264S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
3265D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
3266L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
3267M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
3268X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
3269J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
3270V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
3271S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
4042V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
4043S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
4044D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
4045L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
4046M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
4047X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
4048J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
4049V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
4050S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
4051D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
4052L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
4053M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
4054X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
4055J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
4056V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
4057S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
4058D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
4059L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
4060M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
4061X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
4062J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
4063V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
4064S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
4065D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
4066L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
4067M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
4068X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
4069J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
4070V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
4071S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
4142V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
4143S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
4144D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
4145L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
4146M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
4147X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
4148J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
4149V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
4150S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
4151D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
4152L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
4153M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
4154X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
4155J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
4156V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
4157S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
4158D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
4159L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
4160M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
4161X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
4162J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
4163V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
4164S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
4165D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
4166L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
4167M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
4168X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
4169J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
4170V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
4171S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
5142V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
5143S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
5144D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
5145L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
5146M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
5147X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
5148J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
5149V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
5150S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
5151D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
5152L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
5153M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
5154X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
5155J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
5156V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
5157S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
5158D,0,0,0,0,0,0,1,20250817,20250817                                                                                                                 ,2025-08-03
5159L,1,0,0,0,0,0,0,20250818,20250818                                                                                                                 ,2025-08-03
5160M,0,1,0,0,0,0,0,20250819,20250819                                                                                                                 ,2025-08-03
5161X,0,0,1,0,0,0,0,20250820,20250820                                                                                                                 ,2025-08-03
5162J,0,0,0,1,0,0,0,20250821,20250821                                                                                                                 ,2025-08-03
5163V,0,0,0,0,1,0,0,20250822,20250822                                                                                                                 ,2025-08-03
5164S,0,0,0,0,0,1,0,20250823,20250823                                                                                                                 ,2025-08-03
5165D,0,0,0,0,0,0,1,20250824,20250824                                                                                                                 ,2025-08-03
5166L,1,0,0,0,0,0,0,20250825,20250825                                                                                                                 ,2025-08-03
5167M,0,1,0,0,0,0,0,20250826,20250826                                                                                                                 ,2025-08-03
5168X,0,0,1,0,0,0,0,20250827,20250827                                                                                                                 ,2025-08-03
5169J,0,0,0,1,0,0,0,20250828,20250828                                                                                                                 ,2025-08-03
5170V,0,0,0,0,1,0,0,20250829,20250829                                                                                                                 ,2025-08-03
5171S,0,0,0,0,0,1,0,20250830,20250830                                                                                                                 ,2025-08-03
6042V,0,0,0,0,1,0,0,20250801,20250801                                                                                                                 ,2025-08-03
6043S,0,0,0,0,0,1,0,20250802,20250802                                                                                                                 ,2025-08-03
6044D,0,0,0,0,0,0,1,20250803,20250803                                                                                                                 ,2025-08-03
6045L,1,0,0,0,0,0,0,20250804,20250804                                                                                                                 ,2025-08-03
6046M,0,1,0,0,0,0,0,20250805,20250805                                                                                                                 ,2025-08-03
6047X,0,0,1,0,0,0,0,20250806,20250806                                                                                                                 ,2025-08-03
6048J,0,0,0,1,0,0,0,20250807,20250807                                                                                                                 ,2025-08-03
6049V,0,0,0,0,1,0,0,20250808,20250808                                                                                                                 ,2025-08-03
6050S,0,0,0,0,0,1,0,20250809,20250809                                                                                                                 ,2025-08-03
6051D,0,0,0,0,0,0,1,20250810,20250810                                                                                                                 ,2025-08-03
6052L,1,0,0,0,0,0,0,20250811,20250811                                                                                                                 ,2025-08-03
6053M,0,1,0,0,0,0,0,20250812,20250812                                                                                                                 ,2025-08-03
6054X,0,0,1,0,0,0,0,20250813,20250813                                                                                                                 ,2025-08-03
6055J,0,0,0,1,0,0,0,20250814,20250814                                                                                                                 ,2025-08-03
6056V,0,0,0,0,1,0,0,20250815,20250815                                                                                                                 ,2025-08-03
6057S,0,0,0,0,0,1,0,20250816,20250816                                                                                                                 ,2025-08-03
